# Sentences appearing in many DISTINCT patents, with the vocabulary they carry.
# Each passage is ONE attestation regardless of how many documents repeat it.
# docs	n_terms	terms	passage
98	3	application,intended,otherwise	for example, a dimension disclosed as “40 mm” is intended to mean “about 40 mm.” every document cited herein, including any cross referenced or related patent or application and any patent application or patent to which this application claims priority or benefit thereof, is hereby incorporated herein by reference in its entirety unless expressly excluded or otherwise limited.
71	4	art,base,effect,mixed	these values are dependent on the nature of the article to be perfumed and on the desired organoleptic effect as well as the nature of the co-ingredients in a given base when the compounds according to the invention are mixed with perfuming co-ingredients, solvents or additives commonly used in the art.
47	6	application,base,case,effect,intended,them	the nature and type of the perfuming co-ingredients present in the base do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of its general knowledge and according to intended use or application and the desired organoleptic effect.
134	2	base,group	ii) at least one ingredient selected from the group consisting of a perfumery carrier and a perfumery base;
134	2	origin,synthetic	in general terms, these perfuming co-ingredients belong to chemical classes as varied as alcohols, lactones, aldehydes, ketones, esters, ethers, acetates, nitriles, terpenoids, nitrogenous or sulphurous heterocyclic compounds and essential oils, and said perfuming co-ingredients can be of natural or synthetic origin.
121	2	color,stability	by “perfumery adjuvant” we mean here an ingredient capable of imparting additional added benefit such as a color, a particular light resistance, chemical stability, etc.
34	7	apple,because,fully,nice,pleasant,ripe,sweet	if this apple odor were very pleasant because the odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”.
17	14	fruit,fruits,geranium,jasmine,lavender,leaves,lemon,lily,orange,patchouli,rose,sandalwood,spruce,wood	natural perfumes include the extracts of blossoms (lily, lavender, rose, jasmine, neroli, ylang-ylang), stems and leaves (geranium, patchouli, petitgrain), fruits (anise, coriander, caraway, juniper), fruit peel (bergamot, lemon, orange), roots (nutmeg, angelica, celery, cardamom, costus, iris, calmus), woods (pinewood, sandalwood, guaiac wood, cedarwood, rosewood), herbs and grasses (tarragon, lemon grass, sage, thyme), needles and branches (spruce, fir, pine, dwarf pine), resins and balsams (g
117	2	peppermint,plant	fragrances may also be derived from various oils, such as essential oils, or from plant materials such as peppermint, spearmint and the like.
33	7	fruit,geranium,jasmine,lavender,patchouli,rose,sandalwood	castoreum, costus root oil, oak moss absolute, geranium oil, tree moss absolute, basil oil, fruit oils, such as bergamot oil and mandarine oil, myrtle oil, palmarose oil, patchouli oil, petitgrain oil, jasmine oil, rose oil, sandalwood oil, wormwood oil, lavender oil and/or ylang-ylang oil;
36	6	brought,generally,impression,pleasant,positively,spontaneously	niceness generally refers to a spontaneously brought about, positively perceived, pleasant sensory impression.
68	3	acetate,citrus,orange	citrus ingredients: dihydromyrcenol, citral, orange oil, linalyl acetate, citronellyl nitrile, orange terpenes, limonene, 1-p-menthen-8-yl acetate and/or 1,4(8)-p-menthadiene;
28	7	brought,generally,identical,impression,panel,spontaneously,test	“conciseness” generally refers to a spontaneously brought about sensory impression which—for the same test panel—brings about a reproducibly identical reminder of something specific.
39	5	applying,art,effect,formulations,standard	it is understood that a person skilled in the art is perfectly able to design optimal formulations for the desired effect by admixing the above mentioned components of a perfuming composition, simply by applying the standard knowledge of the art as well as by trial and error methodologies.
24	8	acid,activity,bleach,defined,little,particularly,stability,water	one type of metal-containing bleach catalyst is a catalyst system comprising a transition metal cation of defined bleach catalytic activity, such as copper, iron, titanium, ruthenium, tungsten, molybdenum, or manganese cations, an auxiliary metal cation having little or no bleach catalytic activity, such as zinc or aluminum cations, and a sequestrate having defined stability constants for the catalytic and auxiliary metal cations, particularly ethylenediaminetetraacetic acid, ethylenediaminetetr
31	6	application,base,case,effect,intended,them	the nature and type of the perfuming co-ingredients present in the base do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of his general knowledge and according to the intended use or application and the desired organoleptic effect.
37	5	application,case,effect,intended,them	the nature and type of the perfuming ingredients present in the oil phase do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of its general knowledge and according to intended use or application and the desired organoleptic effect.
37	5	application,case,effect,intended,them	the nature and type of the perfuming co-ingredients present in the perfuming composition do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of his general knowledge and according to the intended use or application and the desired organoleptic effect.
26	7	applied,base,corresponding,deliver,formulation,optionally,pleasant	for the sake of clarity, it has to be mentioned that, by “perfumery consumer base” we mean here the functional formulation, as well as optionally additional benefit agents, corresponding to a consumer product which is compatible with perfuming ingredients and is expected to deliver a pleasant odor to the surface to which it is applied (e.g.
36	5	cationic,contain,form,primary,side	the preferred cationic polymers are chosen from those that contain units comprising primary, secondary, tertiary and/or quaternary amine groups that can either form part of the main polymer chain or can be borne by a side substituent directly connected thereto.
30	6	acetate,amber,anisic,powdery,spicy,watery	amber, powdery spicy or watery): dodecahydro-3a,6,6,9a-tetramethyl-naphtho[2,1-b]furan and any of its stereoisomers, heliotropin, anisic aldehyde, eugenol, cinnamic aldehyde, clove oil, 3-(1,3-benzodioxol-5-yl)-2-methylpropanal, 7-methyl-2h-1,5-benzodioxepin-3(4h)-one, 2,5,5-trimethyl-1,2,3,4,4a,5,6,7-octahydro-2-naphthalenol, 1-phenylvinyl acetate, 6-methyl-7-oxa-1-thia-4-azaspiro[4.4]nonan and/or 3-(3-isopropyl-1-phenyl)butanal.
30	6	advantageous,apple,concise,nice,particularly,properties	if both reactions arise upon smelling the substance, in the example thus a nice and concise apple odor, then this substance has particularly advantageous sensory properties.
176	1	case	many of these co-ingredients are in any case listed in reference texts such as the book by s.
170	1	chemicals	arctander, perfume and flavor chemicals, 1969, montclair, n.j., usa, or its more recent versions, or in other works of a similar nature, as well as in the abundant patent literature in the field of perfumery.
28	6	citrus,contain,eucalyptus,fresheners,lavender,synthetic	air fresheners for living areas contain, in particular, natural and synthetic essential oils such as pine needle oils, citrus oil, eucalyptus oil, lavender oil, and the like, in amounts for example of up to 50% by weight.
42	4	base,comprise,origin,water	for the compositions which comprise both a perfumery carrier and a perfumery base, other suitable perfumery carriers than those previously specified, can be also ethanol, water/ethanol mixtures, limonene or other terpenes, isoparaffins such as those known under the trademark isopar® (origin: exxon chemical) or glycol ethers and glycol ether esters such as those known under the trademark dowanol® (origin: dow chemical company).
83	2	active,otherwise	unless otherwise noted, all component or composition levels are in reference to the active portion of that component or composition, and are exclusive of impurities, for example, residual solvents or by-products, which may be present in commercially available sources of such components or compositions.
83	2	combination,preparations	in these preparations, the compounds of the present invention can be used alone or in combination with other perfuming compositions, solvents, adjuvants and the like.
55	3	called,form,washing	liquid, gel or paste-form all-purpose washing agents, especially the so-called heavy-duty liquid types;
41	4	base,comprise,origin,water	for the compositions which comprise both a perfumery carrier and a perfumery base, other suitable perfumery carriers than those previously specified, can be also ethanol, water/ethanol mixtures, limonene or other terpenes, isoparaffins such as those known under the trademark isopar® (origin: exxon chemical) or glycol ethers and glycol ether esters such as those known under the trademark dowanol® (origin: dow chemical company), or hydrogenated castors oils such as those known under the trademark 
54	3	bleach,care,water	a fabric care product, such as a liquid or solid detergent, a fabric softener, a fabric refresher, an ironing water, a paper, or a bleach;
39	4	applied,deliver,effect,pleasant	for the sake of clarity, it has to be mentioned that, by “perfuming consumer product” it is meant a consumer product which is expected to deliver at least a pleasant perfuming effect to the surface to which it is applied (e.g.
52	3	achieve,effects,since	however, these values are given only by way of example, since the experienced perfumer may also achieve effects or may create novel accords with lower or higher concentrations.
52	3	application,applied,care	skin care including application of creams, lotions, and other topically applied products for consumer use;
26	6	art,how,molecules,result,small,unexpected	those with skill in the art appreciate how small differences in chemical structures can result in unexpected and significant differences in odor, notes and characteristics of molecules.
31	5	art,cationic,optionally,prior,process	as non-limiting examples of solid carriers, one may cite in particular the core-shell capsules with resins of aminoplast, polyamide, polyester, polyurea or polyurethane type or a mixture thereof (all of said resins are well known to a person skilled in the art) using techniques like phase separation process induced by polymerization, interfacial polymerization, coacervation or altogether (all of said techniques have been described in the prior art), optionally in the presence of a polymeric stab
22	7	environmental,found,malodor,performance,perspiration,superior,unexpected	in addition, the compounds of the present invention are also surprisingly found to provide superior ingredient performance and possess unexpected advantages in malodor counteracting applications such as body perspiration, environmental odor such as mold and mildew, bathroom, and etc.
22	7	care,contain,mask,pleasant,small,unpleasant,usually	air care products (includes products that contain preferably volatile and usually pleasant-smelling compounds which advantageously can even in very small amounts mask unpleasant odors).
22	7	booster,deodorants,effects,fresheners,particularly,quickly,top	booster effects are particularly desired in fragrance composition when top-note-characterized applications are required, in which the odor is to be conveyed particularly quickly and intensively, for example in deodorants, air fresheners or in the taste sector in chewing gums.
51	3	acid,fatty,particularly	the fatty acid amide derivative known under the ctfa name of cocamidopropyl betaine is particularly preferred.
50	3	end,form,medium	a reaction medium without an adequate purification, in which the compound of the invention would be involved as a starting, intermediate or end-product could not be considered as a perfuming composition according to the invention as far as said mixture does not provide the inventive compound in a suitable form for perfumery.
149	1	art	a detailed description of the nature and type of adjuvant commonly used in perfuming bases cannot be exhaustive, but it has to be mentioned that said ingredients are well known to a person skilled in the art.
74	2	based,otherwise	all percentages and ratios are calculated based on the total composition unless otherwise indicated.
29	5	amber,anisic,powdery,spicy,watery	amber, powdery spicy or watery): dodecahydro-3a,6,6,9a-tetramethyl-naphtho[2,1-b]furan and any of its stereoisomers, heliotropin, anisic aldehyde, eugenol, cinnamic aldehyde, clove oil, 3-(1,3-benzodioxol-5-yl)-2-methylpropanal and/or 3-(3-isopropyl-1-phenyl)butanal.
48	3	art,how,result	those with skill in the art appreciate how differences in the chemical structure of the molecule can result in significant differences in the odor, notes and characteristics of a molecule.
143	1	optionally	and iii) optionally at least one perfumery adjuvant.
143	1	properties	that does not significantly alter the organoleptic properties of perfuming ingredients.
71	2	generally,otherwise	thus, unpurified reaction mixtures are generally excluded from the present invention unless otherwise specified.
46	3	bleach,cleaning,dry	as well as cleaning auxiliaries such as bleach additives and “stain-stick” or pre-treat types, substrate-laden products such as dryer added sheets, dry and wetted wipes and pads, nonwoven substrates, and sponges;
138	1	acetate	decahydro-2,5,5,8a-tetramethyl-2-naphthyl acetate;
23	6	background,care,chemicals,give,need,perfumers	background of the invention there is an ongoing need in the fragrance industry to provide new chemicals to give perfumers and other persons ability to create new fragrances for perfumes, colognes and personal care products.
68	2	art,prior	the citation of any document is not to be construed as an admission that it is prior art with respect to the present invention.
17	8	acetate,acid,alcohol,geranium,lemon,lilial,orange,rose	preference is given to using bergamot oil, dihydromyrcenol, lilial, lyral, citronellol, phenylethyl alcohol, α-hexylcinnamaldehyde, geraniol, benzylacetone, cyclamen aldehyde, linalool, boisambrene forte, ambroxan, indole, hedione, sandelice, lemon oil, mandarin oil, orange oil, allyl amyl glycolate, cyclovertal, lavandin oil, clary sage oil, β-damascone, geranium oil bourbon, cyclohexyl salicylate, vertofix coeur, iso-e-super, fixolide np, evernyl, iraldein gamma, phenylacetic acid, geranyl ace
34	4	acid,combination,extract,increasing	a dietary ingredient may be one, or any combination, of the following substances: a vitamin, a mineral, an herb or other botanical, an amino acid, a dietary substance for use by people to supplement the diet by increasing the total dietary intake, a concentrate, metabolite, constituent, or extract.
27	5	bacteria,perspiration,results,through,unpleasant	body odors are formed through the action of skin bacteria on apocrine perspiration which results in the formation of unpleasant-smelling degradation products.
66	2	art,process	the encapsulation is a well known process to a person skilled in the art, and may be performed, for instance, using techniques such as spray-drying, agglomeration or yet extrusion;
66	2	effect,preparation	moreover, by “perfuming co-ingredient” it is meant here a compound, which is used in a perfuming preparation or a composition to impart a hedonic effect.
66	2	base,optionally	an invention&#39;s composition consisting of at least one compound of formula (i) and at least one perfumery carrier represents a particular embodiment of the invention as well as a perfuming composition comprising at least one compound of formula (i), at least one perfumery carrier, at least one perfumery base, and optionally at least one perfumery adjuvant.
132	1	acetate	3-pentyltetrahydro-2h-pyran-4-yl acetate;
33	4	aromatic,eucalyptus,herbal,menthol	aromatic-herbal ingredients: eucalyptus oil, camphor, eucalyptol, menthol and/or alpha-pinene;
22	6	background,particularly,provided,relatively,top,volatility	background of the invention one of the problems faced by the perfumery industry lies in the relatively rapid loss of olfactive benefit provided by odoriferous compounds due to their volatility, particularly that of “top-notes”.
26	5	determined,dry,prolonged,washing,wet	the substantivity can for example be determined by washing a textile with a textile detergent composition comprising the aroma chemical and subsequent olfactory evaluation of the textile directly after washing (wet textile) as well as evaluation of the dry textile after prolonged storage.
129	1	comprise	examples of such materials may comprise wall-forming and plasticizing materials, such as mono, di- or trisaccharides, natural or modified starches, hydrocolloids, cellulose derivatives, polyvinyl acetates, polyvinylalcohols, proteins or pectins, or yet the materials cited in reference texts such as h.
43	3	care,foot,hand	a soap, a shower or bath mousse, oil or gel, or a hygiene product or a foot/hand care products);
32	4	base,effective,formulation,together	in other words, a perfumed consumer product according to the invention is a manufactured product which comprises a functional formulation also referred to as “base”, together with benefit agents, among which an effective amount of microcapsules according to the invention.
127	1	care	a body-care product, such as a hair care product (e.g.
42	3	art,pleasant,positive	in other words such an ingredient, to be considered as being a perfuming one, must be recognized by a person skilled in the art as being able to at least impart or modify in a positive or pleasant way the odor of a composition, and not just as having an odor.
31	4	flowers,fruit,fruits,leaves	natural fragrances are extracts from flowers, stems and leaves, fruits, fruit peels, roots, woods, herbs and grasses, needles and branches, and resins and balsams.
31	4	bleach,booster,care,water	a fabric care product, such as a liquid or solid detergent, a fabric softener, a liquid or solid scent booster, a fabric refresher, an ironing water, a paper, a bleach, a carpet cleaner, a curtain-care product;
30	4	base,case,effect,them	the nature and type of the constituents of the perfumery consumer base do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of his general knowledge and according to the nature and the desired effect of said product.
60	2	cedar,wood	acetylated cedar wood oil (methyl cedryl ketone);
24	5	based,case,hydrophobic,pigments,preparation	the total quantity of inorganic pigments, in particular hydrophobic inorganic micro-pigments in the finished cosmetic preparation according to the present invention is advantageously from 0.1 to 30% by weight, preferably 0.5 to 10.0% by weight, in each case based on the total weight of the preparation.
40	3	corresponding,formulation,optionally	in other words, a perfumed article according to the invention comprises the functional formulation, as well as optionally additional benefit agents, corresponding to a consumer product, e.g.
20	6	concentration,defined,impression,panel,test,threshold	a threshold value of an odor is the concentration of a substance in the relevant gas space at which an odor impression can just still be perceived by a representative test panel, although it no longer has to be defined.
118	1	ethyl	2-ethyl-4-hydroxy-5-methyl-2h-furan-3-one;
118	1	provided	a list of suitable fragrances is provided in u.s.
59	2	art,effect	those with skill in the art will be able to employ the desired amount to provide desired fragrance effect and intensity.
57	2	form,precise	the precise nature of these additional components, and levels of incorporation thereof, will depend on the physical form of the composition and the nature of the operation for which it is to be used.
38	3	aromatic,comprise,defined	the term “aliphatic polyisocyanate” is defined as a polyisocyanate which does not comprise any aromatic moiety.
38	3	formulation,pleasant,synthetic	the terms “fragrance formulation”, “fragrance composition”, and “perfume composition” mean the same and refer to a consumer composition that is a mixture of compounds including, for example, alcohols, aldehydes, ketones, esters, ethers, lactones, nitriles, natural oils, synthetic oils, and mercaptans, which are admixed so that the combined odors of the individual components produce a pleasant or desired fragrance.
56	2	antiperspirant,care	a vanishing cream or a deodorant or antiperspirant), or a skin-care product (e.g.
22	5	applying,determined,impression,strip,test	the tenacity can for example be determined by applying the aroma chemical to a test strip, and by subsequent olfactory evaluation of the odor impression of the test strip.
27	4	care,cleaning,comprise,performance	enzymes—the compositions can comprise one or more detergent enzymes which provide cleaning performance and/or fabric care benefits.
18	6	active,activity,comprise,group,hydrophobic,solution	cationically active surfactants comprise the hydrophobic high molecular group required for the surface activity in the cation by dissociation in aqueous solution.
36	3	cleaning,intended,washing	as detergents there are intended applications such as detergent compositions or cleaning products for washing up or for cleaning various surfaces, e.g.
27	4	bacteria,perspiration,process,underarm	where perspiration is present in the underarm region, extracellular enzymes-esterases, mainly proteases and/or lipases are formed by bacteria and split the esters present in the perspiration, releasing odors in the process.
35	3	application,determine,test	test methods it is understood that the test methods that are disclosed in the test methods section of the present application should be used to determine the respective values of the parameters of applicants&#39;
105	1	provided	the following are provided as specific embodiments of the present invention.
15	7	defined,easily,few,mixed,multiple,rather,single	complexity of odor notes refers to the presence of multiple and/or mixed but defined odors rather than a single note or a few easily identifiable notes.
35	3	case,effect,them	the nature and type of the constituents of the perfumed consumer product do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of his general knowledge and according to the nature and the desired effect of said product.
21	5	concentration,determine,precise,specifically,standard	specifically, the gas chromatograph is calibrated to determine the exact volume of the perfume oil ingredient injected by the syringe, the precise split ratio, and the hydrocarbon response using a hydrocarbon standard of known concentration and chain-length distribution.
21	5	average,concentration,determines,panelists,threshold	the average across all panelists determines the odor threshold concentration of the perfuming compound.
26	4	care,commercial,form,intended	home care, family care, feminine care, health care, snack and/or beverage products or devices intended to be used or consumed in the form in which it is sold, and not intended for subsequent commercial manufacture or modification.
26	4	care,fresheners,preparation,preparations	the use of the compounds of the present invention is widely applicable in current perfumery products, including the preparation of perfumes and colognes, the perfuming of personal care products such as soaps, shower gels, and hair care products as well as air fresheners and cosmetic preparations.
34	3	acid,comprise,water	suitable water-soluble organic materials are the homo- or co-polymeric acids or their salts, in which the polycarboxylic acid may comprise at least two carboxyl radicals separated from each other by not more than two carbon atoms.
34	3	corresponding,formulation,optionally	in other words, a perfuming consumer product according to the invention comprises the functional formulation, as well as optionally additional benefit agents, corresponding to the desired consumer product, e.g.
51	2	intended,whether	intended for textile, dish or hard-surface treatment, whether they are intended for domestic or industrial use.
34	3	cationic,ethyl,particularly	particularly suitable cationic surfactants are quaternary ammonium compounds, preferably ammonium halides, more especially chlorides and bromides, such as alkyl trimethyl ammonium chlorides, dialkyl dimethyl ammonium chlorides and trialkyl methyl ammonium chlorides, for example, cetyl trimethyl ammonium chloride, stearyl trim ethyl ammonium chloride, distearyl dimethyl ammonium chloride, lauryl dimethyl ammonium chloride, lauryl dimethyl benzyl ammonium chloride and tricetyl methyl ammonium chlo
34	3	acid,fatty,generally	“esterquats” are generally understood to be quaternized fatty acid triethanolamine ester salts.
25	4	acetate,ethyl,patchouli,woody	woody ingredients: 1-(octahydro-2,3,8,8-tetramethyl-2-naphtalenyl)-1-ethanone, patchouli oil, terpenes fractions of patchouli oil, (1′r,e)-2-ethyl-4-(2′,2′,3′-trimethyl-3′-cyclopenten-1′-yl)-2-buten-1-ol, 2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-buten-1-ol, methyl cedryl ketone, 5-(2,2,3-trimethyl-3-cyclopentenyl)-3-methylpentan-2-ol, 1-(2,3,8,8-tetramethyl-1,2,3,4,6,7,8,8a-octahydronaphthalen-2-yl)ethan-1-one and/or isobornyl acetate;
25	4	add,formulation,make,noticeable	when used in a fragrance formulation these ingredients provide additional notes to make a fragrance formulation more desirable and noticeable, and add the perception of value.
99	1	art	other modifications of this invention will be readily apparent to those skilled in the art.
33	3	applied,effect,pleasant	for the sake of clarity, “perfumed consumer product” is meant to designate a consumer product which delivers at least a pleasant perfuming effect to the surface or space to which it is applied (e.g.
33	3	called,group,particularly	particularly suitable zwitterionic surfactants are the so-called betaines, such as the n-alkyl-n,n-dimethyl ammonium glycinates, for example, cocoalkyl dimethyl ammonium glycinate, n-acylaminopropyl-n,n-dimethyl ammonium glycinates, for example, cocoacylaminopropyl dimethyl ammonium glycinate, and 2-alkyl-3-carboxymethyl-3-hydroxyethyl imidazolines, containing 8 to 18 carbon atoms in the alkyl or acyl group, and cocoacylaminoethyl hydroxyethyl carboxymethyl glycinate.
33	3	effect,effective,effects	olfactory effective amount is understood to mean the amount of compound in perfume compositions the individual component will contribute to its particular olfactory characteristics, but the olfactory effect of the perfume composition will be the sum of the effects of each of the perfumes or fragrance ingredients.
97	1	neutral	by “perfumery carrier” we mean here a material which is practically neutral from a perfumery point of view, i.e.
97	1	care	an air care product, such as an air freshener or a “ready to use” powdered air freshener;
48	2	art,intended	it is intended herein that the compounds described herein include isomeric mixtures of such compounds, as well as those isomers that may be separated using techniques known to those having skill in the art.
48	2	care,cleaning	and shaving products, products for and/or methods relating to treating fabrics, hard surfaces and any other surfaces in the area of fabric and home care, including: air care, car care, dishwashing, fabric conditioning (including softening), laundry detergency, laundry and rinse additive and/or care, hard surface cleaning and/or treatment, and other cleaning for consumer or institutional use;
32	3	acetate,alcohol,ethyl	however, one can cite as non-limiting examples, solvents such as butylene or propylene glycol, glycerol, dipropyleneglycol and its monoether, 1,2,3-propanetriyl triacetate, dimethyl glutarate, dimethyl adipate 1,3-diacetyloxypropan-2-yl acetate, diethyl phthalate, isopropyl myristate, benzyl benzoate, benzyl alcohol, 2-(2-ethoxyethoxy)-1-ethano, tri-ethyl citrate or mixtures thereof, which are the most commonly used.
32	3	applied,deliver,effect	for the sake of clarity, it has to be mentioned that, by “perfumed consumer product” it is meant a consumer product which is expected to deliver among different benefits a perfuming effect to the surface to which it is applied (e.g.
32	3	case,effect,them	the nature and type of the other constituents of the perfumed consumer product do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of his general knowledge and according to the nature and the desired effect of said product.
32	3	base,formulations,found	base formulations of consumer products in which the microcapsules of the invention can be incorporated can be found in the abundant literature relative to such products.
19	5	aromatic,ethyl,eucalyptus,herbal,menthol	aromatic-herbal ingredients: eucalyptus oil, camphor, eucalyptol, 5-methyltricyclo[6.2.1.0˜2,7˜]undecan-4-one, 1-methoxy-3-hexanethiol, 2-ethyl-4,4-dimethyl-1,3-oxathiane, 2,2,7/8,9/10-tetramethylspiro[5.5]undec-8-en-1-one, menthol and/or alpha-pinene;
94	1	art	the nature and variety of the other ingredients that can also be employed are known to those with skill in the art.
47	2	character,formulation	the term “improving” in the phrase “improving, enhancing or modifying a fragrance formulation” is understood to mean raising the fragrance formulation to a more desirable character.
47	2	character,formulation	the term “enhancing” is understood to mean making the fragrance formulation greater in effectiveness or providing the fragrance formulation with an improved character.
47	2	art,process	the encapsulation is a well-known process to a person skilled in the art, and may be performed, for instance, by using techniques such as spray-drying, agglomeration or yet extrusion;
31	3	additionally,alcohol,contain	as aerosols they tend to contain smaller amounts of such essential oils, by way of example less than 5% or less than 2% by weight, but additionally include compounds such as acetaldehyde (in particular, &lt;0.5% by weight), isopropyl alcohol (in particular, &lt;5% by weight), mineral oil (in particular, &lt;5% by weight), and propellants.
31	3	malodor,obtain,result	in general, the amount of malodor counteractant agent present is the ordinary dosage required to obtain the desired result.
31	3	defined,effect,preparation	by “perfumery co-ingredient” it is meant here a compound, which is used in a perfuming preparation or a composition to impart a hedonic effect and which is not a microcapsule as defined above.
31	3	musk,nice,sandalwood	“nice” can also be the odor of musk or sandalwood.
31	3	affect,comprise,intended	pharmaceutical compositions comprise compositions which are intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease as well as articles (other than food) intended to affect the structure or any function of the body of man or other animals.
92	1	resulting	for the sake of clarity, it is also understood that any mixture resulting directly from a chemical synthesis, e.g.
92	1	ethyl	2-ethyl-4-(2,2,3-trimethyl-3-cyclopent-1-yl)-2-buten-1-ol;
23	4	cationic,character,non-ionic,water	the term “hydrocolloid” refers to a broad class of water-soluble or water-dispersible polymers having anionic, cationic, zwitterionic or non-ionic character.
23	4	care,fresheners,preparation,preparations	the use of the compounds of the present invention is widely applicable in current perfumery products, including the preparation of perfumes and colognes, the perfuming of personal care products such as soaps, shower gels, and hair care products, fabric care products, air fresheners, and cosmetic preparations.
46	2	character,formulation	the term “modifying” is understood to mean providing the fragrance formulation with a change in character.
23	4	animal,bacteria,plant,whether	pests refer to any living organism, whether animal, plant or fungus, which is invasive or troublesome to plants or animals, pests include insects notably arthropods, mites, spiders, fungi, weeds, bacteria and other microorganisms.
92	1	effect	the amount will vary depending on many factors including other ingredients, their relative amounts and the effect that is desired.
18	5	cleaning,form,otherwise,powder,washing	as used herein, the term “fabric and/or hard surface cleaning and/or treatment composition” is a subset of cleaning and treatment compositions that includes, unless otherwise indicated, granular or powder-form all-purpose or “heavy-duty” washing agents, especially cleaning detergents;
30	3	cleaning,medium,washing	as a practical matter, and not by way of limitation, the compositions and cleaning processes herein can be adjusted to provide on the order of at least one part per hundred million of the benefit agent mrl species in the aqueous washing medium, and may provide from about 0.005 ppm to about 25 ppm, from about 0.05 ppm to about 10 ppm, or even from about 0.1 ppm to about 5 ppm, of the mrl in the wash liquor.
30	3	adding,effective,properties	in other words, it concerns a method to confer, enhance, improve or modify the odor properties of a perfuming composition or of a perfumed article, which method comprises adding to said composition or article an effective amount of at least a compound of formula (i).
15	6	concentration,defined,impression,panel,test,threshold	a threshold value is the concentration of a substance in the relevant gas space at which an odor impression can just still be perceived by a representative test panel, although it no longer has to be defined.
30	3	chemicals,need,perfumers	these variations and the ongoing need to discover and use the new chemicals in the development of new fragrances allow the perfumers to apply the new compounds in creating new fragrances.
30	3	application,intended,otherwise	for example, a dimension disclosed as “40 mm” is intended to mean “about 40 mm.” every document cited herein, including any cross referenced or related patent or application, is hereby incorporated herein by reference in its entirety unless expressly excluded or otherwise limited.
30	3	form,solution,water	b) preparing an aqueous solution of an emulsifier or colloidal stabilizer to form a water phase;
18	5	acetate,alcohol,dried,form,powder	in particular the slurry may be spray-dried preferably in the presence of a polymeric carrier material such as polyvinyl acetate, polyvinyl alcohol, dextrins, natural or modified starch, vegetable gums, pectins, xanthans, alginates, carragenans or cellulose derivatives to provide microcapsules in a powder form.
15	6	intensive,itself,mint,particularly,peppermint,top	in the mint range, for example, it is known that menthyl methyl ether intensifies the perfumery or taste mixtures of peppermint oils and particularly in top notes brings about a considerably more intensive and more complex perception although the ether itself, being a pure substance, develops no particular intensive odor at all.
