# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
camphoraceous	286	841	0.34	0.035	it has been found that perfume compositions containing as little as 1 percent of the substituted tricyclodecane derivatives of this invention, or even less, can be used to impart a patchouli scent with peppery, woody, fruity and camphoraceous notes to soaps, cosmetics, and other products
particularly	284	273	1.04	0.049	an additional aspect of our invention provides an organoleptically improved smoking tobacco product and additives therefor including methods of making the same which overcome problems heretofore encountered in the creation or enhancement of specific desired natural tobacco-like notes, particularly h
sandalwood	271	724	0.37	0.125	“nice” can also be the odor of musk or sandalwood
amber	271	764	0.35	0.048	in addition, interesting amber nuances are imparted
flowery	270	438	0.62	0.063	4,033,993 describes methyl cyclooctyl carbonate as having an herbal, natural and complex fragrance which is distinguished by a strong and long clinging flowery jasmine scent and further indicates its use in jasmine perfume compositions
flower	263	142	1.85	0.407	suitable fragrances include but are not limited to fruits such as almond, apple, cherry, grape, pear, pineapple, orange, strawberry, raspberry; musk, flower scents such as lavender-like, rose-like, iris-like, carnation-like
fruit	260	338	0.77	0.035	for example, non patent document 1 describes that various isobutyric esters are mainly used as flavors, and all these isobutyric esters are flavor materials having a fruit scent; specifically, methyl isobutyrate gives a sweet apricot-like scent, propyl isobutyrate gives a strong pineapple-like scent
aromatic	254	335	0.76	0.043	the cigarette when treated as indicated has a desired and pleasing aroma (increased smoke body sensation in the mouth with enhanced tobacco-like notes and pleasant aromatic nuances) which is detectable in the main and side streams when the cigarette is smoked
unwanted	253	56	4.52	0.261	unfortunately, many of these synthetic materials either have the desired nuances only to a relatively small degree or else contribute undesirable or unwanted odor to the compositions
mask	245	179	1.37	0.114	shampoo, shower gel; air care products (includes products that contain preferably volatile and usually pleasant-smelling compounds which advantageously can even in very small amounts mask unpleasant odors)
fatty	243	381	0.64	0.037	a sweet, fruity, plum- like, fatty, cucumber-like aroma and taste both prior to and on smoking in the main stream and in the side stream
dry	235	332	0.71	0.030	the resulting soap cakes, on cooling, manifest dry woody, leathery, sandalwood aromas
middle	220	383	0.57	0.064	without technology, volatile top notes can be lost too quickly, leaving a higher ratio of middle and base notes to top notes
unacceptable	216	29	7.45	0.667	it is a requirement that any such material be &#34;ingestibly&#34; acceptable and thus non-toxic and otherwise non-deleterious particularly from an organoleptic standpoint whereby the ultimate flavor and/or aroma of the consumable material used is not caused to have unacceptable aroma and taste nuan
tobacco-like	210	288	0.73	0.067	an additional aspect of our invention provides an organoleptically improved smoking tobacco product and additives therefor including methods of making the same which overcome problems heretofore encountered in the creation or enhancement of specific desired natural tobacco-like notes, particularly h
patchouli	198	648	0.31	0.056	the soap compositions manifest aromas as indicated in table ii, supra, with a characteristic patchouli aroma
caused	192	20	9.60	0.750	it is a requirement that any such material be &#34;ingestibly&#34; acceptable and thus non-toxic and otherwise non-deleterious particularly from an organoleptic standpoint whereby the ultimate flavor and/or aroma of the consumable material used is not caused to have unacceptable aroma and taste nuan
oriental	188	245	0.77	0.069	this invention further provides improved tobacco additives and methods whereby various desirable natural aromatic turkish tobacco flavoring characteristics with oriental notes may be imparted to smoking tobacco products and may be readily varied and controlled to produce the desired uniform flavorin
animal	187	250	0.75	0.048	the odor of musk is perhaps the most universally appreciated fragrance and is usually thought of as the animal note in perfumes
apple	186	174	1.07	0.220	if this apple odor were very pleasant because the odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”
rich	185	188	0.98	0.049	a distinctive and definitive dry green hyacinth, rose, galbanum, rich and full-bodied floral aroma is imparted to the cologne and to the handkerchief perfume at all levels indicated
forest	180	30	6.00	0.794	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells
character	179	149	1.20	0.089	the soap composition manifests an excellent patchouli-like character having aroma nuances and undertones as indicated in table iii below
masking	177	195	0.91	0.153	this ketone finds some use as a masking odor in industrial fragrances
definitive	176	68	2.59	0.085	distinctive and definitive fresh lemony aromas are imparted to the cologne and to the handkerchief perfume at all levels indicated above
wood	173	203	0.85	0.029	depending on the nature of the products in which they are incorporated, compounds (ii) can enhance or develop various gustative notes such as woody, amber-like, earthy and in certain cases slightly flowery notes, or even notes reminiscent of that of cedar wood oil
unacceptab	169	12	14.08	0.852	it is a requirement that any such material be &#34;ingestibly&#34; acceptable and thus non-toxic and otherwise non-deleterious particularly from an organoleptic standpoint whereby the ultimate flavor and/or aroma of the consumable material used is not caused to have unacceptable aroma and taste nuan
balsamic	166	357	0.46	0.042	the bulked fractions have an interesting green, woody, peach-like and balsamic aroma profile with green and floral topnotes
substantially	164	121	1.36	0.055	on chewing, this tobacco has an excellent substantially consistent, long-lasting apple-like nuance, in conjunction with the tobacco notes
spruce	163	12	13.58	0.877	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells
woodland	162	9	18.00	0.883	other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smells
piney	161	395	0.41	0.043	the flavors with the added bicyclooctane derivative have a more juicy character and more of the piney notes found in wild blueberries both in aroma and taste
orange	160	165	0.97	0.113	a greater degree of the natural character of freshly squeezed orange juice 2
definite	160	118	1.36	0.056	a definite aroma improvement, a more natural lemon juice aroma and taste as well as a pleasant sour effect and generally improved taste with lime nuances is created as a result of the addition of the 3-isopropyl-1-methyl-2-oxabicyclo[2.2.2]octane to the lemon flavor
non-woven	160	64	2.50	0.056	the aroma characteristics are imparted in a pleasant manner to the head space in a drier on operation thereof in each case using said drier-added fabric softener non-woven fabrics and these aroma characteristics are described in table ii of example viii, supra
strength	155	120	1.29	0.071	in the subsequent analysis, the data for strength and character comparisons are drawn from the independent assessments carried out at a given time point
synthetic	155	139	1.12	0.077	despite a large number of already existing synthetic aroma chemicals (fragrances and flavorings), there is a constant need for new components in order to be able to satisfy the multitude of properties desired for extremely diverse areas of application
jasmine	153	216	0.71	0.111	4,033,993 describes methyl cyclooctyl carbonate as having an herbal, natural and complex fragrance which is distinguished by a strong and long clinging flowery jasmine scent and further indicates its use in jasmine perfume compositions
bottom	152	230	0.66	0.026	also provided is a formulation that contains only terpenes that provide a top note aroma and a bottom note aroma
distinctive	148	113	1.31	0.041	distinctive and definitive aromas as set forth in table ii of example ix are imparted to the cologne and to the handkerchief perfume at all levels indicated above
raspberry	148	224	0.66	0.088	all members of the panel prefer the test samples having a more distinguished ripened raspberry aroma with taste of the ripe raspberries and its seedy kernel note
rosy	145	217	0.67	0.048	according to a further aspect, fragrances used according to the invention and fragrance compositions according to the invention can be used as agents for providing (a) hair or (b) textile fibers with a rosy odor note
powdery	143	276	0.52	0.028	in particular, (r)-3-(4-isopropylcyclohex-1-en-1-yl)propanal imparts a lily of the valley, floral, sweet, watery, powdery and ozone-like note, whereas (s)-3-(4-isopropylcyclohex-1-en-1-yl)propanal is less preferred and confers a lily of the valley, fruity, green, watery and aldehydic-like note
berry	143	169	0.85	0.070	when evaluated by paired comparison, the cigarettes treated both in the tobacco and in the filter with the 1-ethoxy-1-ethanol acetate are found, in smoke flavor, to be more tobacco-like, with enhanced sweet, fruity, winey and fresh berry nuances
bitter	140	144	0.97	0.036	a green, floral aroma character- istic with bitter flavor character- istics at 0.1 ppm
lavender	140	212	0.66	0.050	arctander states that coumarin is almost a standard ingredient in fougere types with amyl salicylate and lavender notes with or without oakmoss
valley	138	331	0.42	0.043	or similarly to confer, enhance, improve or modify the floral, lily of the valley, hydroxycitronellal odor note of a perfuming composition or of a perfumed article
citrusy	138	218	0.63	0.072	a sweet, fruity, citrusy aroma and taste prior to and on smoking in both the main stream and the side stream
somewhat	138	177	0.78	0.029	the following tables set forth the products covered by our invention and the alkyl acrylate precursor reactant starting materials to be reacted with the methylcyclopentadienes to produce said products and in addition sets forth the organoleptic properties of the products of our invention: table i __
undesirable	137	157	0.87	0.058	background of the invention consumer products may comprise one or more perfumes and/or perfume delivery systems that can provide a desired scent to such product and/or a situs that is contacted with such a product and/or mask an undesirable odor
aldehydic	136	179	0.76	0.029	the resulting volatiles have a lactonic (peachy) aldehydic aroma which is aesthetically pleasing
muguet	134	329	0.41	0.052	compounds having muguet odour characteristics are very sought after as perfume ingredients
soft	133	152	0.88	0.053	##str13## sweet, camphoraceous, warm and soft odor with a woody undertone
lemon	132	148	0.89	0.068	chewing of the resultant tablets yields a pleasant, long-lasting, consistently strong lemon flavor with lime nuances for a period of 12 minutes
test	131	113	1.16	0.176	the tenacity can for example be determined by applying the aroma chemical to a test strip, and by subsequent olfactory evaluation of the odor impression of the test strip
grapefruit	130	266	0.49	0.038	furthermore, the formulation are both &#34;nootkatone&#34; like with aesthetically pleasing red grapefruit notes
pine	129	285	0.45	0.047	6, 1976) with intense pine needle aromas are prepared containing 0.10%, 0.15% and 0.20% of the perfume composition produced according to example ii
medicinal	128	111	1.15	0.219	and in medicinal type odors for soap and household products
rather	125	77	1.62	0.096	it is a rather unique floral note of great value to perfumery
juice	124	81	1.53	0.145	a greater degree of the natural character of freshly squeezed orange juice 2
augment	122	23	5.30	0.516	there is, accordingly, a continuing effort to find synthetic materials which will replace, enhance or augment the fragrance notes provided by natural essential oils or compositions thereof
musty	121	189	0.64	0.050	non-limiting examples of bathroom or latrine malodor include any malodor type of malodor present in a residential or public bathroom/restroom including, but not limited to: odors present immediately after the use of the toilet; lingering toilet odors; stale urine odor; and, moldy or musty odors that
creamy	120	280	0.43	0.067	long-lasting, fresh, green bean, rosey, citrus, petitgrain-like, fruity, anisic, green, raw potato-like, twiggy, herbaceous, sweet, sweaty, green pea-like, chocolate-like, carrot-like and creamy aroma nuances with galbanum topnotes and anther-like and anise-like undertones are desirable in several t
resulting	116	100	1.16	0.060	the resulting aroma is described as sweet, musky and exaltone-like and is imparted in a pleasant manner to the head space in the dryer on operation thereof using the said dryer added fabric softening nonwoven fabric
clean	115	139	0.83	0.061	a clean herbaceous, minty camphoraceous aroma with carvone (caraway) tagette nuances and good basil topnotes
aesthetically	115	91	1.26	0.078	it is a further requirement that such material be organoleptically compatible with the foodstuff with which it is used so that the flavor and aroma nuances of such material, taken together with the flavor and aroma nuances of the foodstuff (as a whole) give rise to a harmoniously aesthetically pleas
exhibit	113	106	1.07	0.053	it is therefore apparent that the fragrance industry has a constant need for new fragrances that exhibit interesting scents
art	113	72	1.57	0.088	pinyl pentenol derivatives are known in the art for having sandalwood aromas
concentrated	113	75	1.51	0.062	______________________________________ example ix perfumed liquid detergent concentrated liquid detergents with aromas as set forth in table i of example viii (which detergents are produced from the lysine salt of n-dodecyl benzene sulfonic acid as more specifically described in u.s
ambery	112	241	0.46	0.054	when used as (an) olfactory component(s) as little as 1% of tricyclic ketone derivative(s) will suffice to impart intense oily, woody amber, leathery, warm spice, earthy camphoraceous, patchouli-like, balsamic, green, cardamom-like, vetiver-like, sweet woody, ambery and minty aromas to various formu
hay	112	180	0.62	0.089	by the same token, hay, fruity, herbaceous aromas prior to and on smoking are desirable in the tobacco art for enhancing natural tobacco-like notes
fragrant	111	121	0.92	0.108	as used herein, a “perfume raw material” refers to one or more of the following ingredients: fragrant essential oils; aroma compounds; pro-perfumes; materials supplied with the fragrant essential oils, aroma compounds, and/or pro-perfumes, including stabilizers, diluents, processing agents, and cont
nutty	110	144	0.76	0.064	it can preferably be used to impart a long-lasting a flowery and/or a marine and/or a green and/or a sweet note and/or a rubbery note and/or a nutty note and/or a woody note and/or a dusty note and/or a rooty note and/or a lemon note odiferous impression to a surfactant comprising composition
give	109	86	1.27	0.055	13, 1973 indicates that such compounds as 6,6-dimethyl-bicyclo [3.1.1] hept-2-ene-2-propionaldehyde are capable of augmenting or enhancing the aroma of perfume compositions, for example, in order to give &#34;fresh air qualities&#34; to foin coupe cologne blends
effect	109	74	1.47	0.101	especially, as already explained above, the compounds can provide a booster effect for other aroma chemicals (such as fragrances)
potentiating	109	51	2.14	0.092	furthermore, the methyl substituted pinyl oxopentenes produced according to the processes of our invention are capable of supplying and/or potentiating certain flavor and aroma notes usually lacking in many tobacco flavors heretofore provided
violet	108	156	0.69	0.093	by the same token, materials which can provide ionone-like, raspberry-like, oriental, floral, violet, musky and fruity aromas with sweet, ionone-like, raspberry, fruity and lactonic tastes are desirable and are well known in the art of flavoring for foodstuffs, toothpastes, chewing gums, medicinal p
because	108	62	1.74	0.380	if this apple odor were very pleasant because the odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”
perspiration	108	41	2.63	0.269	where perspiration is present in the underarm region, extracellular enzymes-esterases, mainly proteases and/or lipases are formed by bacteria and split the esters present in the perspiration, releasing odors in the process
pungent	108	116	0.93	0.037	some modifier compounds that are contemplated by the invention are 3-methyl-2-butene-1-thiol (sulfur compound) and hexanoic acid hexyl ester (pungent odor)
tools	107	21	5.10	0.439	it is useful to mention here that the possibility to have, in the compositions mentioned above, more than one compound of formula (i) is important as it enables the perfumer to prepare accords, perfumes, possessing the odor tonality of various compounds of the invention, creating thus new tools for 
rose-like	107	191	0.56	0.056	example ix perfumed liquid detergents concentrated liquid detergents with rich, floral, rose-like aromas and fruity undertones and hay and camphoraceous topnotes are prepared containing 0.10%, 0.15%, 0.20%, 0.25%, 0.30% and 0.50% of the hydrogenated beta damascenone mixture prepared according to exa
enhances	107	86	1.24	0.047	however, the 2,6,6-trimethyl-α-isopropenyl-1,3-cyclohexadiene-1-methanol produced according to example i adds a leathery, spicey (clove), minty note to the formulation and enhances the leathery character thereof
vetiver	107	178	0.60	0.065	it has been found that perfume compositions containing as little as 0.01% of tricyclic ketone derivative(s) or even less (e.g., 0.005%) can be used to impart a vetiver aroma with sweet woody, citrusy, musky, woody/peppery, woody/leathery, hay and green nuances to soaps, cosmetics, detergents, powder
peppery	107	195	0.55	0.093	it also has a spicy peppery odor which is very commonly used in men&#39;s fragrances added for fragrance appropriateness and desirability
musk-like	106	238	0.45	0.066	a sweet, floral, musk-like, fresh rosey aroma with a floral rosey flavor charac- teristic at 0.2 ppm, causing it to be useful in rose and raspberry flavors
dried	105	170	0.62	0.067	it has been found that perfume compositions containing as little as 0.05% of the tertiary hydroxyl carboxaldehydes of this invention, or even less, can be used to impart an interesting, woody, nutty, floral, lilac, green, peach-like, balsamic and fresh air dried linen aromas with minty, floral, cinn
retain	105	53	1.98	0.181	odour absorbers and antiperspirant active agents suitable odour absorbers are substances which are able to absorb and largely retain odour-forming compounds
extremely	105	81	1.30	0.048	arctander also discloses ambrettolide to be useful as a fixative in perfumes and flavors and to have by itself extremely tenacious floral-musky sweet odor
metallic	105	212	0.50	0.029	the mixture of 1-(octahydro-4,7-methano-inden-5-yl)-propan-2-one and 1-(6-methyl-octahydro-4,7-methano-inden-5-yl)-ethanone was described as having floral, fruity, woody, but weak notes with additional metallic character
increasing	105	85	1.24	0.067	the aromas of the liquid detergent increase with increasing concentration of the composition as set forth in table i of example viii
eucalyptus	104	122	0.85	0.231	the odor of eucalyptus is, in some countries, rated synonomous with masking odors for lavatories, etc., a fact which has an unquestionable psychological effect, causing people to reject the odor of eucalyptus for oral-hygienic purposes, etc
adding	104	90	1.16	0.058	example xi apricot flavor formulation the following flavor formulation is prepared: ______________________________________ ingredients parts by weight ______________________________________ alpha ionone 30.0 ethyl oenanthate 30.0 benzaldehyde 120.0 vanillin 84.0 ethyl alcohol 150.0 cinnamic aldehyde
patchouli-like	104	291	0.36	0.154	the soap composition manifests an excellent patchouli-like character having aroma nuances and undertones as indicated in table iii below
consistent	102	42	2.43	0.088	on chewing, this tobacco has an excellent substantially consistent, long-lasting apple-like nuance, in conjunction with the tobacco notes
vanilla	102	213	0.48	0.029	1 h nmr (cdcl 3 , 400 mhz): 5.78-5.90 (m, 1h), 4.94-5.15 (m, 2h), 3.06-3.79 (m, 4h), 2.46-2.58 (m, 1h), 2.34-2.45 (m, 1h), 1.80-2.05 (m, 2h), 1.42-1.72 (m, 6h), 0.93 (t, j=7.4 hz, 3h) the isomeric mixture structure 29 and 30 was described as having sweet, spicy and vanilla notes
pear	102	144	0.71	0.059	all the members of the panel state that the flavor with the mixture of acetyl hydrindacenes prepared according to example iv has a more natural, riper pear character
geranium	102	133	0.77	0.078	the oxabicyclooctane derivatives and the cyclohexene alkyl and alkenyl carbinols and esters thereof of our invention also augment or enhance the green, minty, herbaceous (e.g., rosemary, garden mint, thyme and wet lettuce), cooling, sweet, fruity, woody, eucalyptol, buchu-like, caraway-like, spicey,
tenacious	101	86	1.17	0.069	semi-dry, tenacious odor resembling part of the ambregris-picture, also woody, remotely reminiscent of sandalwood
nice	100	51	1.96	0.330	if both reactions arise upon smelling the substance, in the example thus a nice and concise apple odor, then this substance has particularly advantageous sensory properties
oily	98	168	0.58	0.061	the soap composition manifests a powerful sandalwood aroma with nutty and oily nuances and also have an intense musky topnote
conjunction	98	25	3.92	0.092	on chewing, this tobacco has an excellent substantially consistent, long-lasting apple-like nuance, in conjunction with the tobacco notes
ionone	98	123	0.80	0.102	the mixture of alcohols adds to the guava aroma and taste profile interesting musky, fruity, ionone and perfumy aroma characteristics with lactonic flavor characteristics causing the guava nectar to be much more natural-like having interesting &#34;peachy&#34; nuances
generally	97	92	1.05	0.103	the detergents all possess intense long-lasting dry green hyacinth, rose, galbanum and generally floral aroma characteristics
important	97	87	1.11	0.041	it is important that the odour properties of the overall fragrance are not affected, or are not adversely affected, by the presence of the reaction product
background	96	62	1.55	0.104	background aroma chemicals, especially fragrances, are of great interest, especially in the field of cosmetics, cleaning and laundry compositions
acetate	95	94	1.01	0.158	α-allyl-4-methyl-3- a sweet, fruity, herbaceous, cyclohexene-1-methanol floral aroma with carvone- acetate like and geranyl acetate- like nuances
formulation	95	90	1.06	0.074	in addition, the aroma of the formulation containing the 3-allyl-1,5-dimethyl-2-oxabicyclo[2.2.2]octane is substantially stronger than the flavor without the oxabicyclooctane derivative
burnt	95	95	1.00	0.074	non-limiting examples of kitchen malodor include any type of malodor present in a residential or commercial kitchen including, but not limited to: kitchen garbage odors that may result from the disposal of raw or cooked meat, fish, vegetables, fruit and/or dairy products; odors experienced during fo
smoking	95	54	1.76	0.305	as used herein, the term &#34;enhance&#34; is intended to mean the intensification (without change in kind of quality of aroma or taste) of one or more taste and/or aroma nuances present in the organoleptic impression of smoking tobacco or a smoking tobacco substitute or a smoking tobacco flavor
responsible	94	79	1.19	0.064	4,091,090), antimicrobially active secondary alcohols, such as for example described in wo 2005/004601, particularly 3-methyl-6-phenyl-2-hexanol, 4-(2,4-dimethylphenyl)-2-butanol, 6-(4-isopropylphenyl)-3-methyl-2-hexanol, 4-(2,4,5-trimethylphenyl)-2-butanol, 3,3-dimethyl-4-phenyl-2-butanol, 3-methyl
white	94	105	0.90	0.053	thus, the 1-n-butoxy-1-ethanol acetate produces not only the fresh character obtained when using acetaldehyde but also gives rise to the unexpected, unobvious and advantageous additional white grape-juice nuance not contained in the flavor which does not have the 1-n-butoxy-1-ethanol acetate added t
anisic	94	337	0.28	0.074	xii(b) a fruity, anisic, green aroma
leathery	94	207	0.45	0.074	the resulting soap cakes, on cooling, manifest dry woody, leathery, sandalwood aromas
cedar	92	111	0.83	0.065	as little as 0.05% of the oxathiolane, dithiolane and/or dioxolane derivative(s) will suffice to impart a pleasant cedar, amber, sweet, patchouli-like aroma to perfumed articles which are desired to have a woody aroma
smoke	91	135	0.67	0.099	common sources of malodors include body perspiration, smoke, environmental odor such as mold and mildew, bathroom, and etc
fruits	91	86	1.06	0.055	the compounds of formula (ii), particularly 2,6,9,10,10-pentamethyl-1-oxa-spiro[4.5]decan-6-yl acetate, can also develop fruity sulfury organoleptic notes which are reminiscent of the character developed by blackcurrent fruits
since	90	79	1.14	0.022	additionally, these alkadienals and alkadienenitriles are extremely cost effective since they possess high odor intensity and can be effective at imparting the desirable organoleptic effect to a fragrance or flavor at a very low concentration
intensive	90	94	0.96	0.189	in the mint range, for example, it is known that menthyl methyl ether intensifies the perfumery or taste mixtures of peppermint oils and particularly in top notes brings about a considerably more intensive and more complex perception although the ether itself, being a pure substance, develops no par
attractive	90	80	1.12	0.089	fresh-rosy, green-leafy type of odor with a &#34;wet vegetable&#34; note of attractive naturalness
valuable	89	107	0.83	0.056	in the area of foodstuffs, chewing gums, toothpastes, medicinal products and chewing tobaccos, as well as flavoring compositions therefor, the ether carboxaldehydes and/or ether carbinols of our invention produced according to the processes of our invention in part augment or enhance green, fresh or
malodor	89	83	1.07	0.090	the present disclosure encompasses the method of dispersing a mist of an effective amount of the freshening composition onto and into shoes for reducing malodor impression and/or freshening wherein the shoes are not sprayed to saturation
fresher	89	75	1.19	0.101	the flavor with the addition of the material produced according to example viii has a fresher herbaceous aroma and flavor characteristic with anis seed notes
amber-like	89	104	0.86	0.079	arctander further states that this compound is stable in soap and offers a low cost material for soap, detergent and other household product fragrances and its musky character blends well with woody and amber-like notes but leaves a floral picture out of the question
spicey	89	183	0.49	0.090	## str15## 1,5-dimethyl-3- n-pentyl-2-oxa- bicyclo[2.2.2] octane a woody, spicey and black pepper aroma with black pepper flavor character- istics insofar as food- stuffs are concerned
acid	88	121	0.73	0.057	the cell line was screened with a volatile compound library for their inhibitory properties and potential butyric acid smell inhibition
honey	88	149	0.59	0.057	composition (a) imparts a honey fragrance with the notes as described in example vi to this cosmetic powder
elegant	88	92	0.96	0.034	[method of imparting aroma to fragrance composition and method of manufacturing the composition] the rose fragrance of the fragrance composition according to the present invention has a distinctive aroma including both features of a strong, passionate, and sophisticated aroma of damask rose and a gr
associated	86	88	0.98	0.023	heart notes are associated with desirable characters such as floral characters (e.g., jasmin, rose), fruity, marine, aromatic or spicy characters
profile	85	120	0.71	0.071	for example, a “substantially non-odorous fragrance modulator” does not impart a new odour that alters the character of the fragrance profile of the composition to which it is added
