# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
masking	83	155	0.54	0.036	illustrative examples of core materials that can be encapsulated can include, but are not limited to, perfumes; brighteners; insect repellants; silicones; waxes; flavors; vitamins; fabric softening agents; skin care agents; enzymes; probiotics; dye polymer conjugates; dye clay conjugates; perfume de
fatty	82	156	0.53	0.037	in this manner, a fatty, deep-fried food smell and flavour impression can be imparted to products such as baked potato crisps or margarine
aromatic	80	195	0.41	0.025	to conceal them or combine with them such that a new pleasant, for example sweet, creamy or aromatic odour is formed
fruit	80	161	0.50	0.062	for example, non patent document 1 describes that various isobutyric esters are mainly used as flavors, and all these isobutyric esters are flavor materials having a fruit scent; specifically, methyl isobutyrate gives a sweet apricot-like scent, propyl isobutyrate gives a strong pineapple-like scent
synthetic	79	73	1.08	0.152	despite a large number of already existing synthetic aroma chemicals, there is a constant need for new components in order to be able to satisfy the multitude of properties desired for extremely diverse areas of application
sandalwood	79	205	0.39	0.392	“nice” can also be the odor of musk or sandalwood
tools	78	19	4.11	0.423	it is useful to mention here that the possibility to have, in the compositions mentioned above, more than one compound of formula (i) is important as it enables the perfumer to prepare accords, perfumes, possessing the odor tonality of various compounds of the invention, creating thus new tools for 
powdery	76	176	0.43	0.026	table 10 structural formula odor quality [synthesis example 16] (example compound 32) musky, fruity, floral, woody very nice fruity-musk [synthesis example 17] (example compound 32) floral, woody, green, fruity not musk note but floral [synthesis example 18] (example compound 34) fruity, green, flor
musky	76	182	0.42	0.026	compounds having musky odor reported so far include macrocyclic musks (muscone, civetone, ethylene brassylate, etc.), nitro-musks (musk xylol, musk ambrette, musk ketone, etc.), polycyclic musks (tetralin musk, indane musk, isocoumarin musk, etc.), alicyclic musks (see, for example, published japane
because	75	45	1.67	0.453	if this apple odor were very pleasant because the odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”
earthy	73	137	0.53	0.027	in embodiments, the fragrance may be quite spicy with an earthy aroma with noticeable hints of pine, clove, citrus, pepper, candy, and tropical fruit
valley	70	242	0.29	0.043	or similarly to confer, enhance, improve or modify the floral, lily of the valley, hydroxycitronellal odor note of a perfuming composition or of a perfumed article
nice	69	38	1.82	0.435	if both reactions arise upon smelling the substance, in the example thus a nice and concise apple odor, then this substance has particularly advantageous sensory properties
aldehydic	69	108	0.64	0.029	the fragrance composition can, for example, include ingredients providing various notes of the fragrance families (for example, green notes, fruity notes, aldehydic notes, chypre notes, oriental notes, tobacco notes, leather notes and fougere notes), and sub-classifications thereof (such as fresh an
undesirable	67	86	0.78	0.075	background of the invention consumer products may comprise one or more perfumes and/or perfume delivery systems that can provide a desired scent to such product and/or a situs that is contacted with such a product and/or mask an undesirable odor
flowery	66	148	0.45	0.030	the first human subject reported a “sweet citrus” scent, with “woody earthen overtones.” the second human subject described the composition as having a “light floral” aroma with a hint of “fruity citrus.” the third human subject reported a “pleasant flowery scent” with notes of “lemony citrus.” exam
malodor	65	71	0.92	0.077	the present disclosure encompasses the method of dispersing a mist of an effective amount of the freshening composition onto and into shoes for reducing malodor impression and/or freshening wherein the shoes are not sprayed to saturation
muguet	62	242	0.26	0.081	compounds having muguet odour characteristics are very sought after as perfume ingredients
animal	62	86	0.72	0.032	table 10 structural formula odor quality [synthesis example 16] (example compound 32) musky, fruity, floral, woody very nice fruity-musk [synthesis example 17] (example compound 32) floral, woody, green, fruity not musk note but floral [synthesis example 18] (example compound 34) fruity, green, flor
clean	61	99	0.62	0.049	it can preferably be used to impart a long-lasting clean note to a surfactant comprising composition
heart	60	115	0.52	0.133	the three notes correspond to the greater or lesser volatility of the ingredients of which they are composed: highly volatile head note, moderately volatile heart note and sparingly volatile base note
retain	59	31	1.90	0.288	odour absorbers and antiperspirant active agents suitable odour absorbers are substances which are able to absorb and largely retain odour-forming compounds
rosy	58	109	0.53	0.086	according to a further aspect, fragrances used according to the invention and fragrance compositions according to the invention can be used as agents for providing (a) hair or (b) textile fibers with a rosy odor note
effect	58	45	1.29	0.190	especially, as already explained above, the compounds can provide a booster effect for other aroma chemicals (such as fragrances)
lemon	57	89	0.64	0.105	it can preferably be used to impart a long-lasting a flowery and/or a marine and/or a green and/or a sweet note and/or a rubbery note and/or a nutty note and/or a woody note and/or a dusty note and/or a rooty note and/or a lemon note odiferous impression to a surfactant comprising composition
responsible	56	56	1.00	0.089	4,091,090), antimicrobially active secondary alcohols, such as for example described in wo 2005/004601, particularly 3-methyl-6-phenyl-2-hexanol, 4-(2,4-dimethylphenyl)-2-butanol, 6-(4-isopropylphenyl)-3-methyl-2-hexanol, 4-(2,4,5-trimethylphenyl)-2-butanol, 3,3-dimethyl-4-phenyl-2-butanol, 3-methyl
strength	56	55	1.02	0.125	in the subsequent analysis, the data for strength and character comparisons are drawn from the independent assessments carried out at a given time point
tobacco	56	117	0.48	0.089	non-limiting examples of tobacco odor include the odor generated during smoking of cigarettes, cigars or tobacco pipes, or the stale smoke odor that lingers after use of tobacco products in a room, or the odor originating from an ash tray that comprises debris from cigarettes, cigars or tobacco pipe
balsamic	56	102	0.55	0.036	example 2 list of compounds of the general formula (i) with odor descriptions and ms data methyl 2-cyclopent-2-en-1-ylacelale (compound ii) gcms: m/z (%)=140(11), 109(15), 108(20), 80(33), 79(31), 74(43), 67(100), 66(25), 43(16), 41(23), 39(20) odor profile: fruity in the strawberry direction ethyl 
associated	55	65	0.85	0.036	middle/heart notes are associated with floral aromas (e.g., jasmin, rose), fruity, aromatic, marine or spicy aromas and have an intermediate volatility in the vapor pressure range of 0.0008 to 0.08 torr at 22° c
background	55	31	1.77	0.182	background aroma chemicals, especially fragrances, are of great interest, especially in the field of cosmetics, cleaning and laundry compositions
watery	54	114	0.47	0.037	in particular, (r)-3-(4-isopropylcyclohex-1-en-1-yl)propanal imparts a lily of the valley, floral, sweet, watery, powdery and ozone-like note, whereas (s)-3-(4-isopropylcyclohex-1-en-1-yl)propanal is less preferred and confers a lily of the valley, fruity, green, watery and aldehydic-like note
minty	54	115	0.47	0.056	menthone has a typical strong minty smell and flavour and has a cooling effect, isomenthone is minty, camphorous and cooling, and somewhat more muffled here than menthone
fragrant	54	64	0.84	0.148	as used herein, a “perfume raw material” refers to one or more of the following ingredients: fragrant essential oils; aroma compounds; pro-perfumes; materials supplied with the fragrant essential oils, aroma compounds, and/or pro-perfumes, including stabilizers, diluents, processing agents, and cont
since	53	54	0.98	0.038	in studies, it has been found that these mass ratios are particularly advantageous since the intrinsic odor of the compound(s) of the general formula (i), especially of the formula (ia) and/or (ib), is regularly barely still perceptible, if at all, but the presence of the compound(s) of the general 
white	53	81	0.65	0.057	for many decades, a lot of effort has been invested in finding compounds possessing this very complex white floral odor, especially since the use of lilial® (2-methyl-3-[4-(2-methyl-2-propanyl)phenyl]propanal, trademark from givaudan-roure sa, vernier, suisse) representing one of the most valuable p
intended	52	37	1.41	0.115	in one embodiment, the fragrance composition contains two or more fragrance components which, collectively and in combination with the solvent to which they are added, impart an intended olfactory note (e.g., a hedonically pleasing “tropical” note) to a human in close proximity to the fragrance comp
single	52	38	1.37	0.288	complexity of odor notes refers to the presence of multiple and/or mixed but defined odors rather than a single note or a few easily identifiable notes
bad	52	129	0.40	0.058	the inventive compounds and mixtures may also be used to cover bad odors, which adhere well to solid surfaces when combined with other absorbents, for example
fragr	52	11	4.73	0.731	the terms “fragrance formulation”, “fragrance composition”, and “perfume composition” mean the same and refer to a consumer composition that is a mixture of compounds including, for example, alcohols, aldehydes, ketones, esters, ethers, lactones, nitriles, natural oils, synthetic oils, and mercaptan
attractive	51	54	0.94	0.078	it is preferable, however, to use mixtures of various aromatic substances that together produce an attractive scent
amber	51	131	0.39	0.039	said composition of matter can be used as perfuming ingredient, for instance to impart odor notes of the powdery, musk type and also having an amber aspect
give	50	55	0.91	0.060	perfumes are usually not a single component, but made up of multiple perfume raw materials which combined give the overall scent of the perfume
exhibit	50	59	0.85	0.060	in other words, there is a constant demand for compounds that exhibit characteristic novel scent profiles while simultaneously ensuring considerable staying power, intensity of scent and strong diffusion
art	50	50	1.00	0.060	the performance a customer expects for an air care freshener based on a wicking process may include (i) an immediate hedonic experience, i.e., a strong perceived impression with respect to strength and character of the fragrance, also known in the art as “fragrance burst” or “fragrance blooming,” an
herbaceous	50	75	0.67	0.060	the stem is not used in order to avoid obtaining an overly herbaceous perfume note
chemicals	50	32	1.56	0.260	as a rule, the customary standard commercial amounts for aroma chemicals, preferably for scents are used
grapefruit	49	114	0.43	0.041	moreover, an investigation of the aromas of grapefruit, orange, apple, and mango revealed the presence of rotundone
achieve	48	37	1.30	0.146	in addition, many known fragrance compositions require high dosages to achieve the desired odor result
warm	48	81	0.59	0.042	1.50 1.50 1.50 reaction product from 0.80 — — comparative example 1 reaction product from — 0.40 0.80 example 1 dipropylene glycol 109.70 110.10 109.70 sum 1000.00 1000.00 1000.00 the reaction product from comparative example 1 (column (1)) underlines the warm woody base note and supports adhesion o
activity	48	14	3.43	0.562	esterase inhibitors inhibit enzyme activity and thus reduce odor formation
small	47	19	2.47	0.468	shampoo, shower gel; air care products (includes products that contain preferably volatile and usually pleasant-smelling compounds which advantageously can even in very small amounts mask unpleasant odors)
character	46	43	1.07	0.043	table 5(i) character dominance odour grading scale score fragrance character dominance 0 not noticeable 1 slight presence of the character 2 moderate presence of the character 3 dominance of the character table 5(ii) character difference odour grading scale score fragrance character change 1 perfume
metallic	46	126	0.37	0.043	description field of the invention the present invention relates to odorant mixtures comprising at least one compound of the general formula (i) and to a method of producing odorant mixtures of the invention, especially perfume oils, perfumed products comprising the odorant mixture of the invention,
sweat	46	98	0.47	0.152	early cleansers were based on either soap chemistry or simple mechanical action in order to remove dirt from the skin, as well as endogenous soils such as sweat, sebum and body odors
deodorants	46	21	2.19	0.522	the odour masking agents are fragrances or perfume oils, which, in addition to their function as odour masking agents, give the deodorants their respective fragrance note
freshness	46	47	0.98	0.087	these fragrances impart a particularly long-lasting impression of freshness to typical washing or cleaning agents and cosmetics
special	46	27	1.70	0.283	of special interest are aroma chemicals, which can impart one or more distinct sensory impressions to a composition, thereby contributing to a rich and interesting sensory profile, especially an olfactory profile of the composition
pigments	45	32	1.41	0.089	ingredients with which fragrances used according to the invention or fragrance compositions according to the invention can preferably be combined are, for example: preservatives, abrasives, antiacne agents, agents to combat skin aging, antibacterial agents, anticellulite agents, antidandruff agents,
important	45	44	1.02	0.067	it is important that the odour properties of the overall fragrance are not affected, or are not adversely affected, by the presence of the reaction product
pungent	45	56	0.80	0.067	particularly suitable here are the flavour compositions or constituents thereof which produce a roasted, meaty (in particular chicken, fish, seafood, beef, pork, lamb, mutton, goat), vegetable-like (in particular tomato, onion, garlic, celery, leek, mushroom, aubergine, seaweed), spicy (in particula
increased	45	43	1.05	0.089	there is an increased need for aroma chemicals which can impart an aroma impression, especially a flowery and/or a marine and/or a green odiferous impression to a composition
violet	44	72	0.61	0.045	the odor of undecavertol is violet and aquatic, and less fruity than 3-ethyl-4-methyldec-4-enal
orange	44	53	0.83	0.045	non-limiting examples of floral character include: lavender-type note, a rose-type note, a lily of the valley-type note, a muguet-type note, a jasmine-type note, a magnolia-type note, a cyclamen-type note, a hyacinth-type note, a lilac-type note, an orange blossom-type note, a cherry blossom-type no
creamy	44	77	0.57	0.068	example iv the fragrance formulas exemplified as follows demonstrated that the addition of endo bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, ethyl ester provided more dimension, and more creamy, edible, and fruity notes to the fragrance formula
vanilla	44	103	0.43	0.045	a third object of the present invention is a method to confer, enhance, improve or modify a vanilla odor note comprising applying microcapsules as defined above to a surface
soft	44	95	0.46	0.045	by combining fragrances having a green and/or flowery scent with a compound of formula (i), the green and/or flowery scents are enhanced, thus providing a higher impact, modified to emphasize pleasant aspects such as fruity, soft, fresh and natural notes and at the same time plastic and technical as
fresheners	43	21	2.05	0.419	such products include but are not limited to diapers, bibs, wipes; products for and/or methods relating to treating hair (human, dog, and/or cat), including, bleaching, coloring, dyeing, conditioning, shampooing, styling; deodorants and antiperspirants; personal cleansing; cosmetics; skin care inclu
panelists	43	34	1.26	0.488	the average across all panelists determines the odor threshold concentration of the perfuming compound
head	43	73	0.59	0.186	thus, it “starts” just before the head note dies off
extremely	43	41	1.05	0.070	scores are based on a perfume odor intensity scale from 0 to 100, where 0=no perfume odor, 25=slight perfume odor, 50=moderate perfume odor, 75=strong perfume odor, and 100=extremely strong perfume odor
marine	43	89	0.48	0.047	the results were that all the panelists found that the fragrance compositions with marine note each containing one of the compounds synthesized in synthesis example 16, 20, 22, and 26 had distinct marine and ozone nuances and were also excellent in diffusibility
stability	43	19	2.26	0.605	an aroma chemical with high stability maintains its aroma profile over a long period in time, preferably in a large variety of compositions and under various storage conditions
generally	42	58	0.72	0.071	a chewable mass which becomes plastic on chewing, sugars of various kinds, sugar substitutes, other sweet-tasting substances, sugar alcohols, flavor-correcting agents for unpleasant flavor impressions, other flavor modulators for further, generally not unpleasant flavor impressions, flavor-modulatin
thereby	42	60	0.70	0.071	the substances inhibit the enzyme activity and thereby reduce the odour formation
ambery	42	90	0.47	0.048	it delivers a highly powerful, highly substantive and highly stable ambery note for use in all perfumery applications
resulting	41	50	0.82	0.098	%, based on the total weight of the resulting aroma chemical composition
raw	41	35	1.17	0.171	raw materials and notes for composition examples las is linear alkylbenzenesulfonate having an average aliphatic carbon chain length c 9 -c 15 supplied by stepan, northfield, ill., usa or huntsman corp
ripe	41	11	3.73	0.829	if this apple odor were very pleasant because the odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”
particles	41	38	1.08	0.098	the benefit agent may be selected from the group consisting of fragrance, silicone oils, waxes, hydrocarbons, higher fatty acids, essential oils, lubricants, lipids, skin coolants, vitamins, sunscreens, antioxidants, glycerine, catalysts, bleach particles, silicon dioxide particles, malodor reducing
otherwise	41	26	1.58	0.171	odor description refers to the odor of the isomeric mixture of the compounds unless otherwise indicated
contain	41	44	0.93	0.073	fragrance substance mixtures, particularly perfume oils, often comprise synthetic or natural (preferably) taste and odor neutral carrier oils, which contain the scent or fragrance substance (as artificial or natural substances) in highly concentrated form (as well as perfumistic solvents and/or auxi
already	41	14	2.93	0.293	despite a large number of already existing synthetic aroma chemicals, there is a constant need for new components in order to be able to satisfy the multitude of properties desired for extremely diverse areas of application
evaluate	40	42	0.95	0.100	the latter were asked to evaluate the odour intensity perceived, on a scale of 1 to 10, from each pair of samples, i.e
absorb	40	17	2.35	0.425	odour absorbers and antiperspirant active agents suitable odour absorbers are substances which are able to absorb and largely retain odour-forming compounds
fully	40	6	6.67	0.850	if this apple odor were very pleasant because the odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”
profile	40	88	0.45	0.150	however, the odor imparted by the “substantially non-odorous fragrance modulator” is generally undetectable or tends to not substantively alter the character of the fragrance profile of the composition to which it is added initially or preferably over time
brought	39	7	5.57	0.718	“conciseness” generally refers to a spontaneously brought about sensory impression which—for the same test panel—brings about a reproducibly identical reminder of something specific
tart	39	6	6.50	0.718	however, the odor of a typically tart apple can also be concise
effects	39	28	1.39	0.154	an efficient preparation method, the possibility of providing better sensory profiles as a result of synergistic effects with other aroma chemicals, a higher stability under certain application conditions, and/or a higher substantivity
against	39	51	0.76	0.103	in addition to the large group of conventional antibiotics, other products which are advantageous here include those relevant to cosmetics such as in particular triclosan, climbazole, octoxyglycerin, octopirox® (1-hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)-2(1h)-pyridone 2-aminoethanol salt), chitos
extending	39	32	1.22	0.103	the benefit agent may be selected from the group consisting of fragrance, silicone oils, waxes, hydrocarbons, higher fatty acids, essential oils, lubricants, lipids, skin coolants, vitamins, sunscreens, antioxidants, glycerine, catalysts, bleach particles, silicon dioxide particles, malodor reducing
wood	39	60	0.65	0.051	the odor of said nitrile is more sandalwood/woody and as much violet as the equivalent irone which is more orris-balsamic other compounds of formula (i) are also described in table (i) herein below, together with their odors: table 1 structure and odor characteristics of the invention&#39;s compound
retention	38	6	6.33	0.921	a panelist sniffs the gc effluent and identifies the retention time when odor is noticed
jasmine	38	54	0.70	0.079	in fragrance applications, hedione® (methyl dihydrojasmonate), which as a pure substance only exhibits a light floral jasmine note, reinforces diffusion, freshness and volume of a perfume composition as an odor booster
environmental	38	14	2.71	0.579	in addition, the compounds of the present invention are also surprisingly found to provide superior ingredient performance and possess unexpected advantages in malodor counteracting applications such as body perspiration, environmental odor such as mold and mildew, bathroom, and etc
overcome	38	11	3.45	0.763	the functional products may include, for example, a conventional room freshener (or deodorant) composition such as room freshener sprays, an aerosol or other spray, fragrance diffusers, a wick or other liquid system, or a solid, for instance candles or a wax base as in pomanders and plastics, powder
fruits	38	43	0.88	0.079	however, the fruity notes of the fragrance formulas containing endo bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, ethyl ester became more intensified and more natural, as well as sweeter and more naturally smelling, which provided a combination of perfectly ripen tropical fruits notes to the overall f
underarm	38	55	0.69	0.105	in addition to the large group of conventional antibiotics, other products which are advantageous here include those relevant to cosmetics such as in particular triclosan, climbazole, octoxyglycerin, octopirox® (1-hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)-2(1h)-pyridone 2-aminoethanol salt), chitos
cleaning	38	51	0.75	0.105	these fragrances impart a particularly long-lasting impression of freshness to typical washing or cleaning agents and cosmetics
hereinabove	38	19	2.00	0.263	through the addition of an olfactory acceptable amount of the compound of the present invention as hereinabove described the odor notes of a consumer product base will be improved, enhanced, or modified
properties	38	53	0.72	0.079	the toxicological acceptability, the skin tolerability, the stability, solubility and formulation properties and the smell of a substance
rich	38	61	0.62	0.105	such an aroma impression is stable in the wide range of compositions and, thus, contributes to a rich and interesting aroma profile of the composition
before	37	30	1.23	0.216	thus, it “starts” just before the head note dies off
intensive	37	32	1.16	0.405	in the mint range, for example, it is known that menthyl methyl ether intensifies the perfumery or taste mixtures of peppermint oils and particularly in top notes brings about a considerably more intensive and more complex perception although the ether itself, being a pure substance, develops no par
positive	37	46	0.80	0.081	in other words, a compound to be considered as being a perfume compound must be recognized by a skilled person in the art of perfumery as being able to impart or modify the odor of a composition in a positive or pleasant way, and not just as having an odor
positively	37	2	18.50	0.973	niceness generally refers to a spontaneously brought about, positively perceived, pleasant sensory impression
spontaneously	37	5	7.40	0.757	“conciseness” generally refers to a spontaneously brought about sensory impression which—for the same test panel—brings about a reproducibly identical reminder of something specific
smoke	37	49	0.76	0.189	common sources of malodors include body perspiration, smoke, environmental odor such as mold and mildew, bathroom, and etc
offensive	37	84	0.44	0.135	these agents may combine with the offensive body odor so that they are not detectable including and may suppress the evaporation of malodor from the body, absorb sweat or malodor, mask the malodor, and/or prevent/inhibit microbiological activity from odor causing organisms
musty	37	82	0.45	0.081	non-limiting examples of bathroom or latrine malodor include any malodor type of malodor present in a residential or public bathroom/restroom including, but not limited to: odors present immediately after the use of the toilet; lingering toilet odors; stale urine odor; and, moldy or musty odors that
found	37	37	1.00	0.054	still more particularly, the applicant has found compounds that possess odour characteristics, which may be perceived and recognised by perfumers as being very reminiscent of the odour of lilial™ and so can serve as a simple replacement for lilial™
active	37	18	2.06	0.459	odour absorbers and antiperspirant active agents suitable odour absorbers are substances which are able to absorb and largely retain odour-forming compounds
lily	37	113	0.33	0.081	an especially valuable class of these floral fragrances are compounds with an odor note of lily of the valley
lavender	37	39	0.95	0.054	typical other components that may be included in the perfume gel composition are herbal extracts from plants, moisturizing agents to protect the skin while using an alcoholic gel perfume, aromatic oils such as lavender and orange blossom aroma oil
rose-like	36	107	0.34	0.056	for example, [(1s*,2r*)-1-methyl-2-[(r*)-5-methyl-4-hexen-2-yl]cyclopropyl]methanol has a rose-like odor with a floral note similar to those of citrus and 3-methyl-5-phenyl-1-pentanol (international patent application publication no
rate	36	32	1.12	0.083	the panelists were asked to rate the odor intensity of the towels after gentle rubbing of the fabrics by hand on a scale from 1 to 7, 1 corresponding to odorless and 7 corresponding to a very strong odor
substantially	36	43	0.84	0.056	the said fragrance precursors are able to release 3-(4-isobutyl-2-methylphenyl)propanal, a compound with substantially similar odour characteristics and performance characteristics as lilial™
application	36	32	1.12	0.083	through the addition of an olfactory acceptable amount of a compound of the present invention, the odor notes of a fragrance application will be improved, enhanced or modified
interest	36	16	2.25	0.361	of special interest are aroma chemicals, which can impart one or more distinct sensory impressions to a composition, thereby contributing to a rich and interesting sensory profile, especially an olfactory profile of the composition
acid	35	67	0.52	0.086	the cell line was screened with a volatile compound library for their inhibitory properties and potential butyric acid smell inhibition
noticeable	35	36	0.97	0.057	the following relative scale was used: 1: barely noticeable odour, 2: medium odour strength, 3: strong odour and 4: very strong odour
clearly	35	32	1.09	0.200	in most cases a quantity of only 1 ppm in a perfume composition will already be sufficient to obtain a clearly perceptible odor effect
anticorrosives	35	23	1.52	0.114	ingredients with which fragrances used according to the invention or fragrance compositions according to the invention can preferably be combined are, for example: preservatives, abrasives, antiacne agents, agents to combat skin aging, antibacterial agents, anticellulite agents, antidandruff agents,
substantive	35	54	0.65	0.086	furthermore, compounds of the present invention can generate particularly substantive and long-lasting muguet odour characteristics
primary	35	43	0.81	0.086	background of the invention in spite of a large number of already existing odoriferous and aroma substances, in the perfume and aroma industry there also continues to be a general demand for novel odoriferous and aroma substances which have, beyond their primary, namely intrinsic smell and flavour p
powders	35	7	5.00	0.829	the functional products may include, for example, a conventional room freshener (or deodorant) composition such as room freshener sprays, an aerosol or other spray, fragrance diffusers, a wick or other liquid system, or a solid, for instance candles or a wax base as in pomanders and plastics, powder
commercial	35	12	2.92	0.371	as a rule, the customary standard commercial amounts for aroma chemicals, preferably for scents are used
relatively	35	45	0.78	0.057	in particular, by means of non-limiting examples of the invention, one may cite 3-mercaptoheptyl acetate which possesses a relatively weak top note reminding of a peach, citrus and tea tonality
little	34	23	1.48	0.265	the result is the skin retains no or very little scent and only for a short duration after a typical cleansing event
bloom	34	10	3.40	0.324	such populations may also incorporate different perfume oils so as to make populations of microcapsules that display different bloom patterns and different scent experiences
often	34	33	1.03	0.088	perfume oils (as preferred embodiment of fragrance substance mixtures (according to the invention)) often serve scent applications
wet	34	44	0.77	0.059	the tracers are evaluated at various “touch points”—while wet (wet fabric odor, or “wfo”) and after one day of line-drying (no rubbing of the fabric) (dry fabric odor, or “dfo”)
modifi	34	13	2.62	0.294	through the addition of an olfactory acceptable amount of the compound of the present invention as hereinabove described the odor notes of a consumer product base will be improved, enhanced, or modified
aspects	34	48	0.71	0.088	preferably, the different olfactory aspects and notes should be superimposed in order to create an overall complex olfactory impression
